cc_2000,cc_2008,cc_2010,comuna,comuna_2000,comuna_2008,comuna_2010,region_2000,region,region_2010
7408,7408,7408,Yerbas Buenas,7408,7408,7408,7,Del Maule,7
8101,8101,8101,Concepción,8101,8101,8101,8,Del Bíobío,8
8102,8102,8102,Coronel,8102,8102,8102,8,Del Bíobío,8
8103,8103,8103,Chiguayante,8103,8103,8103,8,Del Bíobío,8
8104,8104,8104,Florida,8104,8104,8104,8,Del Bíobío,8
8105,8105,8105,Hualqui,8105,8105,8105,8,Del Bíobío,8
8106,8106,8106,Lota,8106,8106,8106,8,Del Bíobío,8
8107,8107,8107,Penco,8107,8107,8107,8,Del Bíobío,8
8108,8108,8108,San Pedro de la Paz,8108,8108,8108,8,Del Bíobío,8
8109,8109,8109,Santa Juana,8109,8109,8109,8,Del Bíobío,8
8110,8110,8110,Talcahuano,8110,8110,8110,8,Del Bíobío,8
8111,8111,8111,Tomé,8111,8111,8111,8,Del Bíobío,8
8112,8112,8112,Hualpén,8112,8112,8112,8,Del Bíobío,8
8201,8201,8201,Lebu,8201,8201,8201,8,Del Bíobío,8
8202,8202,8202,Arauco,8202,8202,8202,8,Del Bíobío,8
8203,8203,8203,Cañete,8203,8203,8203,8,Del Bíobío,8
8204,8204,8204,Contulmo,8204,8204,8204,8,Del Bíobío,8
8205,8205,8205,Curanilahue,8205,8205,8205,8,Del Bíobío,8
8206,8206,8206,Los Álamos,8206,8206,8206,8,Del Bíobío,8
8207,8207,8207,Tirúa,8207,8207,8207,8,Del Bíobío,8
8301,8301,8301,Los Ángeles,8301,8301,8301,8,Del Bíobío,8
8302,8302,8302,Antuco,8302,8302,8302,8,Del Bíobío,8
8303,8303,8303,Cabrero,8303,8303,8303,8,Del Bíobío,8
8304,8304,8304,Laja,8304,8304,8304,8,Del Bíobío,8
8305,8305,8305,Mulchén,8305,8305,8305,8,Del Bíobío,8
8306,8306,8306,Nacimiento,8306,8306,8306,8,Del Bíobío,8
8307,8307,8307,Negrete,8307,8307,8307,8,Del Bíobío,8
8308,8308,8308,Quilaco,8308,8308,8308,8,Del Bíobío,8
8309,8309,8309,Quilleco,8309,8309,8309,8,Del Bíobío,8
8310,8310,8310,San Rosendo,8310,8310,8310,8,Del Bíobío,8
8311,8311,8311,Santa Bárbara,8311,8311,8311,8,Del Bíobío,8
8312,8312,8312,Tucapel,8312,8312,8312,8,Del Bíobío,8
8313,8313,8313,Yumbel,8313,8313,8313,8,Del Bíobío,8
8314,8314,8314,Alto Biobío,8314,8314,8314,8,Del Bíobío,8
8401,8401,8401,Chillán,8401,8401,8401,8,Del Bíobío,8
8402,8402,8402,Bulnes,8402,8402,8402,8,Del Bíobío,8
8403,8403,8403,Cobquecura,8403,8403,8403,8,Del Bíobío,8
8404,8404,8404,Coelemu,8404,8404,8404,8,Del Bíobío,8
8405,8405,8405,Coihueco,8405,8405,8405,8,Del Bíobío,8
8406,8406,8406,Chillán Viejo,8406,8406,8406,8,Del Bíobío,8
8407,8407,8407,El Carmen,8407,8407,8407,8,Del Bíobío,8
8408,8408,8408,Ninhue,8408,8408,8408,8,Del Bíobío,8
8409,8409,8409,Ñiquén,8409,8409,8409,8,Del Bíobío,8
8410,8410,8410,Pemuco,8410,8410,8410,8,Del Bíobío,8
8411,8411,8411,Pinto,8411,8411,8411,8,Del Bíobío,8
8412,8412,8412,Portezuelo,8412,8412,8412,8,Del Bíobío,8
8413,8413,8413,Quillón,8413,8413,8413,8,Del Bíobío,8
8414,8414,8414,Quirihue,8414,8414,8414,8,Del Bíobío,8
8415,8415,8415,Ránquil,8415,8415,8415,8,Del Bíobío,8
8416,8416,8416,San Carlos,8416,8416,8416,8,Del Bíobío,8
8417,8417,8417,San Fabián,8417,8417,8417,8,Del Bíobío,8
8418,8418,8418,San Ignacio,8418,8418,8418,8,Del Bíobío,8
8419,8419,8419,San Nicolás,8419,8419,8419,8,Del Bíobío,8
8420,8420,8420,Treguaco,8420,8420,8420,8,Del Bíobío,8
8421,8421,8421,Yungay,8421,8421,8421,8,Del Bíobío,8
9101,9101,9101,Temuco,9101,9101,9101,9,De La Araucanía,9
9102,9102,9102,Carahue,9102,9102,9102,9,De La Araucanía,9
9103,9103,9103,Cunco,9103,9103,9103,9,De La Araucanía,9
9104,9104,9104,Curarrehue,9104,9104,9104,9,De La Araucanía,9
9105,9105,9105,Freire,9105,9105,9105,9,De La Araucanía,9
9106,9106,9106,Galvarino,9106,9106,9106,9,De La Araucanía,9
9107,9107,9107,Gorbea,9107,9107,9107,9,De La Araucanía,9
9108,9108,9108,Lautaro,9108,9108,9108,9,De La Araucanía,9
9109,9109,9109,Loncoche,9109,9109,9109,9,De La Araucanía,9
9110,9110,9110,Melipeuco,9110,9110,9110,9,De La Araucanía,9
9111,9111,9111,Nueva Imperial,9111,9111,9111,9,De La Araucanía,9
9112,9112,9112,Padre Las Casas,9112,9112,9112,9,De La Araucanía,9
9113,9113,9113,Perquenco,9113,9113,9113,9,De La Araucanía,9
9114,9114,9114,Pitrufquén,9114,9114,9114,9,De La Araucanía,9
9115,9115,9115,Pucón,9115,9115,9115,9,De La Araucanía,9
9116,9116,9116,Saavedra,9116,9116,9116,9,De La Araucanía,9
9117,9117,9117,Teodoro Schmidt,9117,9117,9117,9,De La Araucanía,9
9118,9118,9118,Toltén,9118,9118,9118,9,De La Araucanía,9
9119,9119,9119,Vilcún,9119,9119,9119,9,De La Araucanía,9
9120,9120,9120,Villarrica,9120,9120,9120,9,De La Araucanía,9
9121,9121,9121,Cholchol,9121,9121,9121,9,De La Araucanía,9
9201,9201,9201,Angol,9201,9201,9201,9,De La Araucanía,9
9202,9202,9202,Collipulli,9202,9202,9202,9,De La Araucanía,9
9203,9203,9203,Curacautín,9203,9203,9203,9,De La Araucanía,9
9204,9204,9204,Ercilla,9204,9204,9204,9,De La Araucanía,9
9205,9205,9205,Lonquimay,9205,9205,9205,9,De La Araucanía,9
9206,9206,9206,Los Sauces,9206,9206,9206,9,De La Araucanía,9
9207,9207,9207,Lumaco,9207,9207,9207,9,De La Araucanía,9
9208,9208,9208,Purén,9208,9208,9208,9,De La Araucanía,9
9209,9209,9209,Renaico,9209,9209,9209,9,De La Araucanía,9
9210,9210,9210,Traiguén,9210,9210,9210,9,De La Araucanía,9
9211,9211,9211,Victoria,9211,9211,9211,9,De La Araucanía,9
10501,14101,14101,Valdivia,10501,14101,14101,10,De Los Ríos,14
10502,14102,14102,Corral,10502,14102,14102,10,De Los Ríos,14
10503,14202,14202,Futrono,10503,14202,14202,10,De Los Ríos,14
10504,14201,14201,La Unión,10504,14201,14201,10,De Los Ríos,14
10505,14203,14203,Lago Ranco,10505,14203,14203,10,De Los Ríos,14
10506,14103,14103,Lanco,10506,14103,14103,10,De Los Ríos,14
10507,14104,14104,Los Lagos,10507,14104,14104,10,De Los Ríos,14
10508,14105,14105,Máfil,10508,14105,14105,10,De Los Ríos,14
10509,14106,14106,Mariquina,10509,14106,14106,10,De Los Ríos,14
10510,14107,14107,Paillaco,10510,14107,14107,10,De Los Ríos,14
10511,14108,14108,Panguipulli,10511,14108,14108,10,De Los Ríos,14
10512,14204,14204,Río Bueno,10512,14204,14204,10,De Los Ríos,14
10101,10101,10101,Puerto Montt,10101,10101,10101,10,De Los Lagos,10
10102,10102,10102,Calbuco,10102,10102,10102,10,De Los Lagos,10
10103,10103,10103,Cochamó,10103,10103,10103,10,De Los Lagos,10
10104,10104,10104,Fresia,10104,10104,10104,10,De Los Lagos,10
10105,10105,10105,Frutillar,10105,10105,10105,10,De Los Lagos,10
10106,10106,10106,Los Muermos,10106,10106,10106,10,De Los Lagos,10
10107,10107,10107,Llanquihue,10107,10107,10107,10,De Los Lagos,10
10108,10108,10108,Maullín,10108,10108,10108,10,De Los Lagos,10
10109,10109,10109,Puerto Varas,10109,10109,10109,10,De Los Lagos,10
10201,10201,10201,Castro,10201,10201,10201,10,De Los Lagos,10
10202,10202,10202,Ancud,10202,10202,10202,10,De Los Lagos,10
10203,10203,10203,Chonchi,10203,10203,10203,10,De Los Lagos,10
10204,10204,10204,Curaco de Vélez,10204,10204,10204,10,De Los Lagos,10
10205,10205,10205,Dalcahue,10205,10205,10205,10,De Los Lagos,10
10206,10206,10206,Puqueldón,10206,10206,10206,10,De Los Lagos,10
10207,10207,10207,Queilén,10207,10207,10207,10,De Los Lagos,10
10208,10208,10208,Quellón,10208,10208,10208,10,De Los Lagos,10
10209,10209,10209,Quemchi,10209,10209,10209,10,De Los Lagos,10
10210,10210,10210,Quinchao,10210,10210,10210,10,De Los Lagos,10
10301,10301,10301,Osorno,10301,10301,10301,10,De Los Lagos,10
10302,10302,10302,Puerto Octay,10302,10302,10302,10,De Los Lagos,10
10303,10303,10303,Purranque,10303,10303,10303,10,De Los Lagos,10
10304,10304,10304,Puyehue,10304,10304,10304,10,De Los Lagos,10
10305,10305,10305,Río Negro,10305,10305,10305,10,De Los Lagos,10
10306,10306,10306,San Juan de la Costa,10306,10306,10306,10,De Los Lagos,10
10307,10307,10307,San Pablo,10307,10307,10307,10,De Los Lagos,10
10401,10401,10401,Chaitén,10401,10401,10401,10,De Los Lagos,10
10402,10402,10402,Futaleufú,10402,10402,10402,10,De Los Lagos,10
10403,10403,10403,Hualaihué,10403,10403,10403,10,De Los Lagos,10
10404,10404,10404,Palena,10404,10404,10404,10,De Los Lagos,10
11101,11101,11101,Coihaique,11101,11101,11101,11,De Aisén del Gral. C. Ibáñez del Campo,11
11102,11102,11102,Lago Verde,11102,11102,11102,11,De Aisén del Gral. C. Ibáñez del Campo,11
11201,11201,11201,Aisén,11201,11201,11201,11,De Aisén del Gral. C. Ibáñez del Campo,11
11202,11202,11202,Cisnes,11202,11202,11202,11,De Aisén del Gral. C. Ibáñez del Campo,11
11203,11203,11203,Guaitecas,11203,11203,11203,11,De Aisén del Gral. C. Ibáñez del Campo,11
11301,11301,11301,Cochrane,11301,11301,11301,11,De Aisén del Gral. C. Ibáñez del Campo,11
11302,11302,11302,O'Higgins,11302,11302,11302,11,De Aisén del Gral. C. Ibáñez del Campo,11
11303,11303,11303,Tortel,11303,11303,11303,11,De Aisén del Gral. C. Ibáñez del Campo,11
11401,11401,11401,Chile Chico,11401,11401,11401,11,De Aisén del Gral. C. Ibáñez del Campo,11
11402,11402,11402,Río Ibáñez,11402,11402,11402,11,De Aisén del Gral. C. Ibáñez del Campo,11
12101,12101,12101,Punta Arenas,12101,12101,12101,12,De Magallanes y de La Antártica Chilena,12
12102,12102,12102,Laguna Blanca,12102,12102,12102,12,De Magallanes y de La Antártica Chilena,12
12103,12103,12103,Río Verde,12103,12103,12103,12,De Magallanes y de La Antártica Chilena,12
12104,12104,12104,San Gregorio,12104,12104,12104,12,De Magallanes y de La Antártica Chilena,12
12201,12201,12201,Cabo de Hornos,12201,12201,12201,12,De Magallanes y de La Antártica Chilena,12
12202,12202,12202,Antártica,12202,12202,12202,12,De Magallanes y de La Antártica Chilena,12
12301,12301,12301,Porvenir,12301,12301,12301,12,De Magallanes y de La Antártica Chilena,12
12302,12302,12302,Primavera,12302,12302,12302,12,De Magallanes y de La Antártica Chilena,12
12303,12303,12303,Timaukel,12303,12303,12303,12,De Magallanes y de La Antártica Chilena,12
12401,12401,12401,Natales,12401,12401,12401,12,De Magallanes y de La Antártica Chilena,12
12402,12402,12402,Torres del Paine,12402,12402,12402,12,De Magallanes y de La Antártica Chilena,12
13101,13101,13101,Santiago,13101,13101,13101,13,Metropolitana de Santiago,13
13102,13102,13102,Cerrillos,13102,13102,13102,13,Metropolitana de Santiago,13
13103,13103,13103,Cerro Navia,13103,13103,13103,13,Metropolitana de Santiago,13
13104,13104,13104,Conchalí,13104,13104,13104,13,Metropolitana de Santiago,13
13105,13105,13105,El Bosque,13105,13105,13105,13,Metropolitana de Santiago,13
13106,13106,13106,Estación Central,13106,13106,13106,13,Metropolitana de Santiago,13
13107,13107,13107,Huechuraba,13107,13107,13107,13,Metropolitana de Santiago,13
13108,13108,13108,Independencia,13108,13108,13108,13,Metropolitana de Santiago,13
13109,13109,13109,La Cisterna,13109,13109,13109,13,Metropolitana de Santiago,13
13110,13110,13110,La Florida,13110,13110,13110,13,Metropolitana de Santiago,13
13111,13111,13111,La Granja,13111,13111,13111,13,Metropolitana de Santiago,13
13112,13112,13112,La Pintana,13112,13112,13112,13,Metropolitana de Santiago,13
13113,13113,13113,La Reina,13113,13113,13113,13,Metropolitana de Santiago,13
13114,13114,13114,Las Condes,13114,13114,13114,13,Metropolitana de Santiago,13
13115,13115,13115,Lo Barnechea,13115,13115,13115,13,Metropolitana de Santiago,13
13116,13116,13116,Lo Espejo,13116,13116,13116,13,Metropolitana de Santiago,13
13117,13117,13117,Lo Prado,13117,13117,13117,13,Metropolitana de Santiago,13
13118,13118,13118,Macul,13118,13118,13118,13,Metropolitana de Santiago,13
13119,13119,13119,Maipú,13119,13119,13119,13,Metropolitana de Santiago,13
13120,13120,13120,Ñuñoa,13120,13120,13120,13,Metropolitana de Santiago,13
13121,13121,13121,Pedro Aguirre Cerda,13121,13121,13121,13,Metropolitana de Santiago,13
13122,13122,13122,Peñalolén,13122,13122,13122,13,Metropolitana de Santiago,13
13123,13123,13123,Providencia,13123,13123,13123,13,Metropolitana de Santiago,13
13124,13124,13124,Pudahuel,13124,13124,13124,13,Metropolitana de Santiago,13
13125,13125,13125,Quilicura,13125,13125,13125,13,Metropolitana de Santiago,13
13126,13126,13126,Quinta Normal,13126,13126,13126,13,Metropolitana de Santiago,13
13127,13127,13127,Recoleta,13127,13127,13127,13,Metropolitana de Santiago,13
13128,13128,13128,Renca,13128,13128,13128,13,Metropolitana de Santiago,13
13129,13129,13129,San Joaquín,13129,13129,13129,13,Metropolitana de Santiago,13
13130,13130,13130,San Miguel,13130,13130,13130,13,Metropolitana de Santiago,13
13131,13131,13131,San Ramón,13131,13131,13131,13,Metropolitana de Santiago,13
13132,13132,13132,Vitacura,13132,13132,13132,13,Metropolitana de Santiago,13
13201,13201,13201,Puente Alto,13201,13201,13201,13,Metropolitana de Santiago,13
13202,13202,13202,Pirque,13202,13202,13202,13,Metropolitana de Santiago,13
13203,13203,13203,San José de Maipo,13203,13203,13203,13,Metropolitana de Santiago,13
13301,13301,13301,Colina,13301,13301,13301,13,Metropolitana de Santiago,13
13302,13302,13302,Lampa,13302,13302,13302,13,Metropolitana de Santiago,13
13303,13303,13303,Tiltil,13303,13303,13303,13,Metropolitana de Santiago,13
13401,13401,13401,San Bernardo,13401,13401,13401,13,Metropolitana de Santiago,13
13402,13402,13402,Buin,13402,13402,13402,13,Metropolitana de Santiago,13
13403,13403,13403,Calera de Tango,13403,13403,13403,13,Metropolitana de Santiago,13
13404,13404,13404,Paine,13404,13404,13404,13,Metropolitana de Santiago,13
13501,13501,13501,Melipilla,13501,13501,13501,13,Metropolitana de Santiago,13
13502,13502,13502,Alhué,13502,13502,13502,13,Metropolitana de Santiago,13
13503,13503,13503,Curacaví,13503,13503,13503,13,Metropolitana de Santiago,13
13504,13504,13504,María Pinto,13504,13504,13504,13,Metropolitana de Santiago,13
13505,13505,13505,San Pedro,13505,13505,13505,13,Metropolitana de Santiago,13
13601,13601,13601,Talagante,13601,13601,13601,13,Metropolitana de Santiago,13
13602,13602,13602,El Monte,13602,13602,13602,13,Metropolitana de Santiago,13
13603,13603,13603,Isla de Maipo,13603,13603,13603,13,Metropolitana de Santiago,13
13604,13604,13604,Padre Hurtado,13604,13604,13604,13,Metropolitana de Santiago,13
13605,13605,13605,Peñaflor,13605,13605,13605,13,Metropolitana de Santiago,13
