area,ss_code,type_sickness,GES_real_2007,GES_real_2008,GES_real_2009,GES_real_2010,GES_real_2011,GES_real_2012,GES_real_2013,GES_real_2014,GES_real_2015,GES_real_2016
Algarrobo  ,26,COLECISTECTOMÍA PREVENTIVA DEL CÁNCER DE VESÍCULA EN PERSONAS DE 35 A 49 AÑOS,  ,  ,  ,  ,  ,  ,  ,1800106,  ,  
Algarrobo  ,27,CÁNCER GÁSTRICO,  ,  ,  ,  ,  ,,  ,  ,  ,  
Algarrobo  ,28,CÁNCER DE PRÓSTATA EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,  ,32691,2877609
Algarrobo  ,29,VICIOS DE REFRACCIÓN EN PERSONAS DE 65 AÑOS Y MÁS,  ,67592,136268,30922,  ,30683,14290,20143,72858,187326
Algarrobo  ,31,RETINOPATÍA DIABÉTICA,  ,  ,  ,  ,  ,  ,63720,  ,  ,  
Algarrobo  ,34,DEPRESIÓN EN PERSONAS DE 15 AÑOS Y MÁS,178914,1492079,2752232,3675052,6486154,4503809,4821157,3865935,3397317,3029559
Algarrobo  ,35,TRATAMIENTO DE LA HIPERPLASIA BENIGNA DE LA PRÓSTATA EN PERSONAS SINTOMÁTICAS,56900,  ,2383009,1551000,  ,1447504,  ,  ,  ,23235
Algarrobo  ,37,ACCIDENTE CEREBROVASCULAR ISQUÉMICO EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,7983199,769674,6582116,3874228,1935308,668574
Algarrobo  ,38,ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA DE TRATAMIENTO AMBULATORIO,541273,632673,697986,778945,778050,559923,80556,647926,1563345,1718590
Algarrobo  ,39,ASMA BRONQUIAL MODERADA Y GRAVE EN MENORES DE 15 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,  ,35432
Algarrobo  ,41,"TRATAMIENTO MÉDICO EN PERSONAS DE 55 AÑOS Y MÁS CON ARTROSIS DE CADERA Y/O RODILLA, LEVE O MODERADA",  ,68316,291717,192311,376124,213341,  ,  ,491689,1123466
Algarrobo  ,44,TRATAMIENTO QUIRÚRGICO DE HERNIA DEL NÚCLEO PULPOSO LUMBAR,  ,  ,14870,  ,  ,  ,  ,  ,  ,  
Algarrobo  ,45,LEUCEMIA EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,9902993,39742199,24140435,14285785,10621429
Algarrobo  ,46,URGENCIA ODONTOLÓGICA AMBULATORIA,  ,24483,  ,30646,  ,33838,4542,20293,  ,  
Algarrobo  ,52,ARTRITIS REUMATOIDEA,  ,  ,  ,92151,28547,  ,  ,442058,597032,481393
Algarrobo  ,56,HIPOACUSIA BILATERAL EN PERSONAS DE 65 AÑOS Y MÁS QUE REQUIEREN USO DE AUDÍFONO,  ,232083,  ,  ,  ,178813,152425,  ,309421,566190
Algarrobo  ,60,EPILEPSIA NO REFRACTARIA EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,  ,146880,137429
Algarrobo  ,61,ASMA BRONQUIAL EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,57137,453434,456761,988610,884328,1239441,1219774
Algarrobo  ,62,ENFERMEDAD DE PARKINSON,  ,  ,  ,  ,  ,  ,  ,  ,112036,308536
Algarrobo  ,64,PREVENCIÓN SECUNDARIA ENFERMEDAD RENAL CRÓNICA TERMINAL,  ,  ,  ,  ,  ,  ,  ,17714,67832,66670
Algarrobo  ,66,SALUD ORAL INTEGRAL DE LA EMBARAZADA,  ,  ,  ,  ,  ,430332,  ,  ,322980,617842
Algarrobo  ,69,HEPATITIS C,  ,  ,  ,  ,  ,  ,  ,111693,  ,  
Algarrobo  ,71,CÁNCER DE OVARIO EPITELIAL,  ,  ,  ,  ,  ,  ,  ,  ,781751,  
Algarrobo  ,75,TRASTORNO BIPOLAR EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,389712,1042695,1039024,987554
Algarrobo  ,76,HIPOTIROIDISMO EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,261438,344495,733709
Algarrobo  ,80,TRATAMIENTO DE ERRADICACIÓN DEL HELICOBACTER PYLORI,  ,  ,  ,  ,  ,  ,  ,29924,44910,261450
Alhue  ,3,CÁNCER CERVICOUTERINO,  ,  ,  ,811744,38396,  ,  ,  ,  ,  
Alhue  ,4,ALIVIO DEL DOLOR  Y CUIDADOS PALIATIVOS POR CÁNCER AVANZADO,  ,  ,  ,  ,  ,  ,  ,  ,  ,5992298
Alhue  ,5,INFARTO AGUDO DEL MIOCARDIO,  ,  ,  ,  ,  ,  ,  ,  ,4340945,9769533
Alhue  ,6,DIABETES MELLITUS TIPO 1,  ,  ,  ,  ,  ,  ,102547,1267971,1231264,1106332
Alhue  ,7,DIABETES MELLITUS TIPO 2,  ,1090471,1242005,1314155,1288387,1167428,1167334,1095897,1227049,881854
Alhue  ,8,CÁNCER DE MAMA EN PERSONAS DE 15 AÑOS Y MAS,  ,  ,  ,  ,412431,  ,  ,  ,1319810,252908
Alhue  ,11,TRATAMIENTO QUIRÚRGICO DE CATARATAS,  ,  ,  ,  ,1191416,  ,  ,17388,  ,  
Alhue  ,17,LINFOMAS EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,  ,  ,20531711
Alhue  ,18,SÍNDROME DE LA INMUNODEFICIENCIA ADQUIRIDA VIH/SIDA,  ,  ,  ,  ,  ,  ,  ,  ,183217,1508828
Alhue  ,21,HIPERTENSIÓN ARTERIAL PRIMARIA O ESENCIAL EN PERSONAS DE 15 AÑOS Y MAS,  ,  ,  ,  ,  ,22112,1089,99081,285162,214402
Alhue  ,24,PREVENCIÓN DEL PARTO PREMATURO,  ,  ,  ,  ,  ,  ,  ,  ,  ,159294
Alhue  ,26,COLECISTECTOMÍA PREVENTIVA DEL CÁNCER DE VESÍCULA EN PERSONAS DE 35 A 49 AÑOS,  ,1646835,17976,1874125,  ,  ,  ,1452838,  ,2970693
Alhue  ,28,CÁNCER DE PRÓSTATA EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,  ,153421,  
Alhue  ,34,DEPRESIÓN EN PERSONAS DE 15 AÑOS Y MÁS,  ,233208,516013,503388,  ,152891,207719,803054,745936,421769
Alhue  ,35,TRATAMIENTO DE LA HIPERPLASIA BENIGNA DE LA PRÓSTATA EN PERSONAS SINTOMÁTICAS,  ,  ,  ,  ,  ,  ,  ,  ,239704,  
Alhue  ,37,ACCIDENTE CEREBROVASCULAR ISQUÉMICO EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,122240,2514670,22441
Alhue  ,39,ASMA BRONQUIAL MODERADA Y GRAVE EN MENORES DE 15 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,  ,20250
Alhue  ,41,"TRATAMIENTO MÉDICO EN PERSONAS DE 55 AÑOS Y MÁS CON ARTROSIS DE CADERA Y/O RODILLA, LEVE O MODERADA",  ,  ,  ,  ,  ,  ,  ,  ,163929,  
Alhue  ,44,TRATAMIENTO QUIRÚRGICO DE HERNIA DEL NÚCLEO PULPOSO LUMBAR,  ,  ,  ,  ,  ,  ,  ,1541753,1795958,  
Alhue  ,46,URGENCIA ODONTOLÓGICA AMBULATORIA,  ,  ,  ,  ,85235,  ,  ,  ,  ,  
Alhue  ,48,POLITRAUMATIZADO GRAVE,  ,4297802,  ,  ,  ,  ,  ,  ,  ,  
Alhue  ,61,ASMA BRONQUIAL EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,23489,  ,75460
Alhue  ,75,TRASTORNO BIPOLAR EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,  ,292882,121679
Alhue  ,76,HIPOTIROIDISMO EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,  ,37341,151538
Alhue  ,80,TRATAMIENTO DE ERRADICACIÓN DEL HELICOBACTER PYLORI,  ,  ,  ,  ,  ,  ,  ,  ,  ,285407
Alto BiobioNN,3,CÁNCER CERVICOUTERINO,  ,  ,  ,  ,  ,  ,  ,  ,  ,37560
Alto BiobioNN,5,INFARTO AGUDO DEL MIOCARDIO,  ,  ,  ,  ,  ,  ,  ,  ,  ,21620
Alto BiobioNN,7,DIABETES MELLITUS TIPO 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,8614
Alto BiobioNN,21,HIPERTENSIÓN ARTERIAL PRIMARIA O ESENCIAL EN PERSONAS DE 15 AÑOS Y MAS,  ,  ,  ,34836,58492,77602,41513,14460,15867,72350
Alto BiobioNN,26,COLECISTECTOMÍA PREVENTIVA DEL CÁNCER DE VESÍCULA EN PERSONAS DE 35 A 49 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,14177,1587861
Alto BiobioNN,34,DEPRESIÓN EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,  ,  ,21338
Alto BiobioNN,47,SALUD ORAL INTEGRAL DEL ADULTO DE 60 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,  ,465600
Alto BiobioNN,61,ASMA BRONQUIAL EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,45594,18164,18429
Alto BiobioNN,66,SALUD ORAL INTEGRAL DE LA EMBARAZADA,  ,  ,  ,  ,  ,114549,  ,  ,  ,646086
Alto BiobioNN,75,TRASTORNO BIPOLAR EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,  ,  ,437992
Alto del Carmen  ,7,DIABETES MELLITUS TIPO 2,  ,  ,  ,  ,10452,44866,286,  ,  ,  
Alto del Carmen  ,21,HIPERTENSIÓN ARTERIAL PRIMARIA O ESENCIAL EN PERSONAS DE 15 AÑOS Y MAS,  ,  ,  ,  ,9513,44679,25372,  ,  ,  
Alto del Carmen  ,28,CÁNCER DE PRÓSTATA EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,342853,1876893,244198,  ,  ,  
Alto del Carmen  ,34,DEPRESIÓN EN PERSONAS DE 15 AÑOS Y MÁS,  ,17191,  ,20324,450101,132076,42466,42935,  ,  
Alto del Carmen  ,37,ACCIDENTE CEREBROVASCULAR ISQUÉMICO EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,730490,8818,7650,9493,  ,  ,  
Alto del Carmen  ,46,URGENCIA ODONTOLÓGICA AMBULATORIA,  ,19141,  ,  ,  ,  ,  ,  ,  ,  
Alto del Carmen  ,72,CÁNCER VESICAL EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,665668,14676,  ,  
Alto HospicioNN,1,ENFERMEDAD RENAL CRÓNICA ETAPAS 4 Y 5,  ,  ,  ,  ,  ,7608043,11404725,10533846,10941871,9063036
Alto HospicioNN,2,CARDIOPATÍAS CONGÉNITAS OPERABLES EN MENORES DE 15 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,141143,  
Alto HospicioNN,3,CÁNCER CERVICOUTERINO,  ,128175,685704,1979565,2283918,1923862,4314055,3452831,2165410,4223539
Alto HospicioNN,4,ALIVIO DEL DOLOR  Y CUIDADOS PALIATIVOS POR CÁNCER AVANZADO,  ,46573,  ,  ,299507,2808590,4794498,809141,2567181,205761
Alto HospicioNN,5,INFARTO AGUDO DEL MIOCARDIO,  ,  ,2637161,378459,893288,1745035,13592104,9095113,3264734,10363358
Alto HospicioNN,6,DIABETES MELLITUS TIPO 1,  ,  ,  ,  ,309307,603692,529412,425289,453030,649505
Alto HospicioNN,7,DIABETES MELLITUS TIPO 2,77091,1799109,2729188,3258898,3039732,4161275,5314468,5157365,8074806,10612082
Alto HospicioNN,8,CÁNCER DE MAMA EN PERSONAS DE 15 AÑOS Y MAS,705837,  ,  ,  ,  ,1006808,  ,71312,490003,12871262
Alto HospicioNN,11,TRATAMIENTO QUIRÚRGICO DE CATARATAS,  ,  ,  ,2361846,2991084,  ,51150,679641,1018447,1428008
Alto HospicioNN,15,ESQUIZOFRENIA,  ,  ,  ,  ,  ,  ,  ,  ,  ,1437528
Alto HospicioNN,16,CÁNCER DE TESTÍCULO EN PERSONAS DE 15 AÑOS Y MAS,  ,  ,6656420,5408565,4251362,9038009,7531716,2216741,2827418,4261016
Alto HospicioNN,17,LINFOMAS EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,7129152,10010773,644433,17949,48192926,3438248
Alto HospicioNN,18,SÍNDROME DE LA INMUNODEFICIENCIA ADQUIRIDA VIH/SIDA,  ,  ,  ,9430416,7994916,6122094,14769460,42558774,78511136,110212759
Alto HospicioNN,19,INFECCIÓN RESPIRATORIA AGUDA (IRA) DE MANEJO AMBULATORIO EN PERSONAS MENORES DE 5 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,  ,2329
Alto HospicioNN,20,NEUMONÍA ADQUIRIDA EN LA COMUNIDAD DE MANEJO AMBULARORIO EN PERSONAS DE 65 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,15543,  ,  
Alto HospicioNN,21,HIPERTENSIÓN ARTERIAL PRIMARIA O ESENCIAL EN PERSONAS DE 15 AÑOS Y MAS,281527,1214715,931235,1266155,1125935,1344486,1026532,1114502,1682173,1956232
Alto HospicioNN,23,SALUD ORAL INTEGRAL PARA NIÑOS Y NIÑAS DE 6 AÑOS,  ,82050,1117077,  ,  ,  ,  ,  ,  ,464815
Alto HospicioNN,24,PREVENCIÓN DEL PARTO PREMATURO,  ,  ,  ,  ,  ,  ,449020,  ,  ,3054041
Alto HospicioNN,25,"TRASTORNOS DE GENERACIÓN DEL IMPULSO Y CONDUCCIÓN EN PERSONAS DE 15 AÑOS Y MÁS, QUE REQUIEREN MARCAPASO",  ,  ,2279301,  ,  ,  ,22395410,5494679,  ,  
Alto HospicioNN,26,COLECISTECTOMÍA PREVENTIVA DEL CÁNCER DE VESÍCULA EN PERSONAS DE 35 A 49 AÑOS,53344,3436056,9295164,9661324,3731710,12196468,17913690,5760356,3647357,6385372
Alto HospicioNN,27,CÁNCER GÁSTRICO,  ,  ,  ,  ,  ,5977262,122124,55073,43016,55265
Alto HospicioNN,28,CÁNCER DE PRÓSTATA EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,1785868,11658231,712614,  ,  
Alto HospicioNN,31,RETINOPATÍA DIABÉTICA,  ,  ,  ,76184,1882658,492403,218317,129954,643155,  
Alto HospicioNN,32,DESPRENDIMIENTO DE RETINA REGMATÓGENO NO TRAUMÁTICO,  ,  ,  ,  ,  ,  ,  ,  ,26252,903451
Alto HospicioNN,34,DEPRESIÓN EN PERSONAS DE 15 AÑOS Y MÁS,748058,7301502,14091211,21283854,21808712,14588689,18898569,13146102,15720095,19894029
Alto HospicioNN,35,TRATAMIENTO DE LA HIPERPLASIA BENIGNA DE LA PRÓSTATA EN PERSONAS SINTOMÁTICAS,  ,  ,  ,  ,  ,4167440,7656733,2414,31316,211186
Alto HospicioNN,37,ACCIDENTE CEREBROVASCULAR ISQUÉMICO EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,785943,62704,4512,,1041190,28667
Alto HospicioNN,39,ASMA BRONQUIAL MODERADA Y GRAVE EN MENORES DE 15 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,  ,149935
Alto HospicioNN,41,"TRATAMIENTO MÉDICO EN PERSONAS DE 55 AÑOS Y MÁS CON ARTROSIS DE CADERA Y/O RODILLA, LEVE O MODERADA",  ,  ,  ,  ,  ,  ,  ,  ,  ,251259
Alto HospicioNN,42,HEMORRAGIA SUBARACNOIDEA SECUNDARIA A RUPTURA DE ANEURISMAS CEREBRALES,  ,  ,  ,  ,  ,  ,  ,  ,  ,545322
Alto HospicioNN,43,TUMORES PRIMARIOS DEL SISTEMA NERVIOSO CENTRAL EN PERSONAS DE 15 AÑOS O MÁS,  ,  ,  ,  ,  ,  ,8449593,  ,10135565,48614
Alto HospicioNN,44,TRATAMIENTO QUIRÚRGICO DE HERNIA DEL NÚCLEO PULPOSO LUMBAR,  ,5510239,6367608,2741464,3055246,9492912,7110118,12617713,12817723,10521844
Alto HospicioNN,45,LEUCEMIA EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,13116156,5137279,5097449,14873989,6516241
Alto HospicioNN,46,URGENCIA ODONTOLÓGICA AMBULATORIA,  ,1327666,1267301,1055126,1310559,967296,1050801,720699,253138,20154
Alto HospicioNN,47,SALUD ORAL INTEGRAL DEL ADULTO DE 60 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,125960,650736
Alto HospicioNN,48,POLITRAUMATIZADO GRAVE,  ,  ,  ,  ,4229131,8701717,55271327,  ,  ,  
Alto HospicioNN,49,TRAUMATISMO CRÁNEO ENCEFÁLICO MODERADO O GRAVE,  ,  ,  ,611920,  ,  ,  ,  ,  ,  
Alto HospicioNN,52,ARTRITIS REUMATOIDEA,  ,14837,4641,558888,1292917,1090709,1315183,1837116,3489031,4162661
Alto HospicioNN,56,HIPOACUSIA BILATERAL EN PERSONAS DE 65 AÑOS Y MÁS QUE REQUIEREN USO DE AUDÍFONO,  ,  ,  ,  ,  ,  ,  ,  ,  ,128990
Alto HospicioNN,60,EPILEPSIA NO REFRACTARIA EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,139197,  ,  ,10721,10274,33343
Alto HospicioNN,61,ASMA BRONQUIAL EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,35721,9768,50110,150358,499602,713628
Alto HospicioNN,62,ENFERMEDAD DE PARKINSON,  ,  ,  ,76504,838367,174513,17350,  ,637533,1642562
Alto HospicioNN,66,SALUD ORAL INTEGRAL DE LA EMBARAZADA,  ,  ,  ,131514,495339,1738744,1934510,2307491,3574640,3217076
Alto HospicioNN,68,HEPATITIS  CRÓNICA POR VIRUS HEPATITIS B,  ,  ,  ,  ,2935594,3726668,2306396,524775,  ,  
Alto HospicioNN,70,CÁNCER COLORECTAL EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,  ,8614933,2403985
Alto HospicioNN,75,TRASTORNO BIPOLAR EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,116308,679800,783378,200348
Alto HospicioNN,76,HIPOTIROIDISMO EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,2642,52740,154102,412233
Alto HospicioNN,78,LUPUS ERITEMATOSO SISTÉMICO,  ,  ,  ,  ,  ,  ,  ,310876,47161,  
Alto HospicioNN,80,TRATAMIENTO DE ERRADICACIÓN DEL HELICOBACTER PYLORI,  ,  ,  ,  ,  ,  ,  ,7719,43124,22591
Ancud  ,1,ENFERMEDAD RENAL CRÓNICA ETAPAS 4 Y 5,7629385,9718557,19069301,25991254,27152753,23902846,9990640,173889,  ,2574407
Ancud  ,2,CARDIOPATÍAS CONGÉNITAS OPERABLES EN MENORES DE 15 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,  ,82059
Ancud  ,3,CÁNCER CERVICOUTERINO,730881,2377436,1061277,1614733,1597334,1437678,1031520,2931134,650974,430437
Ancud  ,4,ALIVIO DEL DOLOR  Y CUIDADOS PALIATIVOS POR CÁNCER AVANZADO,35243,125972,  ,179687,3561064,535287,2245683,644752,91324,1616734
Ancud  ,5,INFARTO AGUDO DEL MIOCARDIO,  ,755547,61851,44236,  ,1681536,7787608,817583,630531,2208553
